Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
18/12/2013,G. Collins,School of Mathematics,,,10.1080/00927872.2014.927474,G. Collins,Taylor and Francis,Communications in Algebra,,,On the Fitting height of a group with two Sylow numbers,06/07/2015,RCUK,,,EPSRC,,,Doctoral training grant',,,31/06/2015,,,,,447,447,,None,Prepayment,,447,CC BY,Yes,Yes,Not yet OA with CC BY
18/02/2014,R. Lilford,"School of Public Health, Epidemiology and Biostatistics",PMC4298960,25606027,10.1186/s12962-014-0027-3,R. Lilford,BioMed Central,Cost-Effectiveness and Resource Allocation,,,An approach to prioritization of medical devices in low-income countries: an example based on the Republic of South Sudan,10/01/2015,RCUK,,,EPSRC,,,GR/S29874/01,,,31/01/2015,,,,,1126.25,1126.25,,None,Prepayment,,1126.25,CC BY,Yes,Yes,
28/04/2014,E. Rocco,School of Physics & Astronomy,,,10.1088/1367-2630/16/9/093046,E. Rocco,IOP Publishing,New Journal of Physics,,,Fluorescence detection at the atom shot noise limit for atom interferometry,25/09/2014,RCUK,,,EPSRC,,,EP/I036877/1,,,31/02/2015,,,,,1080,900,180,None,,,1080,CC BY,Yes,Yes,
02/07/2014,L. Bortolotti,"School of Philosophy, Theology and Religion",,,,L. Bortolotti,Elsevier,Consciousness and Cognition,,,Costs and Benefits of Imperfect Cognitions: a Special Issue of Consciousness and Cognition,May-15,RCUK,,,AHRC,,,,,,31/07/2015,,12600,,USD,9922.56,8272.37,1650.19,None,,,9922.56,CC BY,Yes,Yes,Special issue with multiple articles.
15/07/2014,A. Denniston,School of Immunity and Infection,PMC4337620 ,25733801,10.2147/OPTH.S73272,A. Denniston,Dove Medical Press,Clinical Ophthalmology,,,Social deprivation as a risk factor for late presentation of proliferative diabetic retinopathy,17/02/2015,Institutional,,,,,,,,,31/01/2015,,,,,1416,1180,236,None,,0,0,CC BY,Yes,Yes,
11/08/2014,A. Copello,School of Psychology,,,10.1186/s40814-015-0004-4,A. Copello,Springer,Pilot and Feasibility Studies,,,A randomised controlled feasibility trial of family and social network intervention for young people who misuse alcohol and drugs: study protocol (Y-SBNT),13/03/2015,Institutional,,,Other,,,11/60/01,,,31/02/2015,,,,,969,969,,None,Prepayment,0,0,CC BY,Yes,Yes,NIHR/HTA
11/09/2014,S. Gutierrez,School of Mathematics,,,10.1088/0951-7715/28/5/1307,S. Gutierrez,IOP Publishing,Nonlinearity,,,Self-similar solutions of the one-dimensional Landau-Lifshitz-Gilbert equation,17/04/2015,RCUK,,,EPSRC,,,EP/J01155X/1,,,31/06/2015,,,,,1700,1700,,None,,,1700,CC BY,Yes,Yes,
12/09/2014,R. Perez Mohedano,School of Chemical Engineering,,,10.1016/j.cej.2014.08.033,R. Perez Mohedano,Elsevier,Chemical Engineering Journal,,,Positron Emission Particle Tracking (PEPT) for the analysis of water motion in a domestic dishwasher,01/01/2015,RCUK,,,EPSRC,,,EP/G036713/1,,,31/01/2015,,,,,1767,1767,,None,Prepayment,,1767,CC BY,Yes,Yes,
12/09/2014,J. Loke,School of Cancer Sciences,PMC4317519,25284166,10.1007/s00277-014-2218-6,J. Loke,Springer,Annals of Hematology,,,Mylotarg has potent anti-leukaemic effect: a systematic review and meta-analysis,05/10/2014,COAF,,,Cancer Research UK,,,"CRUK core funding to Birmingham
CRCTU",,,31/01/2015,,,,,2100.74,"1,750.62",350.12,None,,2100.74,0,CC BY,Yes,Yes,
25/09/2014,N. Metje,School of Civil Engineering,,,10.1139/cgj-2013-0313,N. Metje,NRC Research Press,Canadian Geotechnical Journal,,,Factors affecting soil permittivity and proposals to obtain gravimetric water content from time domain reflectometry measurements,29/05/2014,RCUK,,,EPSRC,,,EP/F065965/1,,,31/01/2015,,3000,,USD,1922.71,1922.71,,None,,,1922.71,CC BY,Yes,Yes,Not yet OA with CC BY
