Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
2013.08.08,A.N. Author,School of Engineering and Computing Sciences, ,,10.1016/j.engappai.2015.06.023,G. Coates,Elsevier,Engineering Applications of Artifical Intelligence,0952-1976,,Agent-based simulation of emergency response to plan the allocation of resources for a hypothetical two-site mass casualty incident,Not yet published,RCUK,,,EPSRC,,,EP/G057516/1,,,2015.07.06,2551.39,,,EUR,1867.49,,,None,,,1867.49,Unknown,,,Not yet published so cannot report on licence information
2013.11.05,A. Librarian,Department of Archaeology, ,,10.5284/1000184,M.J.Church,Society of Antiquaries of Scotland,Proceedings of the Society of Antiquaries of Scotland,0081-1564,,"Seeds, fruits and nuts in the Scottish Mesolithic",,RCUK,,,AHRC,,,AH/I503757/1,,,2015.01.02,"3,000.00",,,GBP,"3,000.00",,,None,,,"3,000.00",Unknown,No,No,No clear licence
2013.11.22,,Department of Psychology,,,10.1016/j.evolhumbehav.2015.03.004,L.G.Boothroyd,Elsevier,Evolution and Human Behavior,1090-5138,,Concurrent parent–child relationship quality is associated with an imprinting-like effect in children’s facial preferences.,2015,RCUK,,,ESRC,,,ES/H034773/1,,,2015.04.20,"2,657.00",,,EUR,1963.65,,,None,,,1963.65,CC BY,Yes,Yes,
2015.05.13,,Department of Chemistry,,,10.1016/j.ssnmr.2015.05.003,P.Hodgkinson,Elsevier,Solid-State Nuclear Magnetic Resonance,0926-2040,,Simulating spin dynamics in organic solids under heteronuclear decoupling,2015.05.15,RCUK,,,EPSRC,,,EP/H023291/1,,,2015.05.20,2923.47,,,EUR,2167.84,,200,None,,,2167.84,CC BY,Yes,Yes,
2014-06-13,,Department of Geography,,,,E.McClymont,Elsevier,Earth and Planetary Science Letters,0012-821X,,Antarctic Intermediate Water properties since 400 ka recorded in infaunal (Uvigerina peregrina) and epifaunal (Planulina wuellerstorfi) benthic foraminifera,Not yet published,RCUK,,,NERC,,,NE/I027703/1,,,2015.07.14,3189.24,,,EUR,2329.77,,,None,,,2329.77,Unknown,,,
2014.09.08,,Department of Anthropology,,,10.1186/s12862-015-0332-2,E.A.Clarke,Biomed Central,BMC Evolutionary Biology,1471-2148 ,,Context-specific close-range “hoo” calls in wild gibbons (Hylobates lar),2015,RCUK,,,BBSRC,,,BBS/S/K/2003/10140,,,2015.03.16,"1,411.50",,,GBP,1411.5,,,None,,,1411.5,CC BY,Yes,,
2015.02.09,,Department of Geography,,,10.1016/j.earscirev.2015.01.011,M.Margold,Elsevier,Earth Science Reviews,0012-8252,,"Ice streams in the Laurentide Ice Sheet: identification, characteristics and comparison to modern ice sheets",2015.02.08,RCUK,,,NERC,,,NE/J00782X/1,,,2015.02.18,"3,160.16",,,EUR,2392.81,,,None,,,2392.81,CC BY,Yes,,
2014.08.26,,,,,,A.Wade,Elsevier,Stochastic Processes and Their Applications,0304-4149,,Convex hulls of random walks and their scaling limits,Not yet published,RCUK,,,EPSRC,,,EP/J021784/1,,,2015.07.21,797.3,,,EUR,576.5,,,None,,,576.5,Unknown,,,
,,Department of Physics,,,10.1088/1367-2630/16/11/115016,S.L.Cornish,Institute of Physics,New Journal of Physics,1367-2630,,Repeated output coupling of ultracold Feshbach molecules from a Cs BEC,Nov-14,RCUK,,,EPSRC,,,EP/H003363/1,,,2015.01.02,"1,440.00",,,GBP,1440,"£1,200.00",,None,,,1440,CC BY,Yes,,
2014.09.09,,Department of Geography,,,10.1111/disa.12120,J.Warburton,Wiley-Blackwell,Disasters,1467-7717,,"Local perception of infrequent, extreme upland flash flooding: prisoners of experience?",2015.01.13,RCUK,,,ESRC,NERC,,ES/I902147/1,,,2015.01.08,"1,500.00",,,GBP,1500,,,None,Wiley,,1500,CC BY,Yes,,
,,School of Biological and Biomedical Sciences,,,10.1111/mec.13112,M.L.Lucas,Wiley-Blackwell,Molecular Ecology,1365-294X,,"Contrasting population genetic structure among freshwater-resident and anadromous lampreys: the role of demographic history, differential dispersal and anthropogenic barriers to movement",2015,RCUK,,,EPSRC,,,DTG,,,2015.02.18,"2,100.00",,,GBP,2100,,,None,Wiley,,2100,CC BY,Yes,,
,,Department of Mathematical Sciences,,,10.1088/1475-7516/2015/04/048,J.Pearson,Institute of Physics,Journal of Cosmology and Astroparticle Physics,1475-7516,,"Constraining dark sector perturbations I: cosmic shear and CMB lensing
",Apr-15,RCUK,,,STFC,,,ST/J000426/1,,,2015.04.15,"1,680.00",,,GBP,1680,"£1,400.00",,None,,,1680,CC BY,Yes,,
2014.10.22,,Department of Physics,,,10.1103/PhysRevLett.114.113002,C.S.Adams,American Physical Society,Physical Review Letters,1079-7114,,Coherent Excitation Transfer in a Spin Chain of Three Rydberg Atoms,Mar-15,RCUK,,,EPSRC,,,EP/L023024/1 ,,,2015.02.19,"1,748.00",,,GBP,1748,,,None,,,1748,CC BY,Yes,,
2014.10.07,,Department of Music,,,10.1371/journal.pone.0123247,M.Clayton,Public Library of Science,PLoS ONE,1932-6203,,"Pulse, Entrainment and Shared Experience of Nonisochronous Auditory Stimuli: The case of North Indian Alap",2015.04.07,RCUK,,,AHRC,,,RGST/6186/APN19244,,,2015.03.16,"1,350.00",,,USD,946.02,,,None,,,946.02,CC BY,Yes,,
2015.02.23,,Department of Chemistry,,,10.1016/j.jfluchem.2015.02.007,S.L.Cobb,Elsevier,Journal of Fluorine Chemistry,0022-1139,,"Synthesis, Ni(II) Schiff base complexation and structural analysis of fluorinated analogs of the ligand (S)-2-[N-(N′-benzylprolyl)amino]benzophenone (BPB)",2015.02.25,RCUK,,,EPSRC,,,EP/J015989/1,,,2015.02.24,"2,764.01",,,EUR,2090.58,,,None,,,2090.58,CC BY,Yes,,
2014.12.01,,Department of Physics,,,10.1088/1367-2630/17/5/055006,S.L.Cornish,Institute of Physics,New Journal of Physics,1367-2630,,"A Simple, Versatile Laser System for the Creation of Ultracold Ground State Molecules",2015.05.07,RCUK,,,EPSRC,,,EP/I012044/1,,,2015.06.10,"1,440",,,GBP,1440,"£1,200.00",,None,,,1440,CC BY,Yes,,
2014.12.05,,Department of Archaeology,,,10.1007/s12520-015-0243-6,M.J.Church,Springer,Archaeological and Anthropological Sciences,1866-9565,,The influence of manuring on stable isotopes (&#948;13C and &#948;15N) in Celtic Bean (Vicia faba L.): archaeobotanical and palaeodietary implications,2015,RCUK,,,AHRC,,,AH/L002558/1,,,2015.05.13,"2,640.00",,,EUR,1969.61,,,None,,,1969.61,CC BY,Yes,,
2014.12.10,,Department of Earth Sciences,,,10.1002/2014GL062159,R.Agrusta,Wiley-Blackwell,Geophysical Research Letters,1944-8007,,The effect of metastable pyroxene on the slab dynamics,2014.12.20,RCUK,,,NERC,,,NE/J008028/1,,,2015.01.05,"1,125.00",,,GBP,1125,,,None,Wiley,,1125,CC BY,Yes,,
