Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
26/01/2016,"Lockyer, Nicholas",Faculty of Engineering and Physical Sciences,,,10.1116/1.4941009,"Lockyer, Nicholas",AIP,Biointerphases,1934-8630,Journal Article/Review (Hybrid journal),Matrix Effects in Biological SIMS using Cluster Ion Beams of Different Chemical Composition,29/01/2016,RCUK,,,EPSRC,,,,,,08/04/2016," $1,085.00 ",,,USD,873.17,,,,No,,873.17,CC-BY,Yes,Yes,
14/09/2015,"Scrutton, Nigel",Life Sciences,PMC4613865,,10.1021/acs.biochem.5b00789,"Scrutton, Nigel",American Chemical Society,Biochemistry,0006-2960,Journal Article/Review (Hybrid journal),Structure and mechanism of a viral collagen prolyl hydroxylase,14/9/2015,RCUK,,,EPSRC,,,EP/J020192/1,,,9/10/2015," $2,000.00 ",,,USD,1553.99,,,,Yes,,1553.99,CC-BY,Yes,Yes,
14/08/2015,"Schroder, Martin",Engineering and Physical Sciences,PMC4583071,,10.1021/acs.cgd.5b00395,"Schroder, Martin",American Chemical Society,Crystal Growth & Design,1528-7483,Journal Article/Review (Hybrid journal),Control of Assembly of Dihydropyridyl and Pyridyl Molecules via Directed Hydrogen Bonding,28/7/2015,RCUK,,,EPSRC,,,,,,16/9/2015," $1,000.00 ",,,USD,767.27,,,,Yes,,767.27,CC BY,Yes,Yes,
27/12/2015,"Savjani, Nicky",School of Chemistry,,,10.1021/acs.chemmater.5b04476,"Savjani, Nicky",American Chemical Society,Chemistry of Materials,0897-4756,Journal Article/Review (Hybrid journal),Synthesis of Lateral Size-Controlled Monolayer 1H MoS2@oleylamine as Supercapacitor Electrodes.,30/12/2015,RCUK,,,EPSRC,,,,,,20/01/2016," $2,000.00 ",,,USD,1609.53,,,,Yes,,1609.53,CC-BY,Yes,Yes,
20/08/2015,"Leigh, David",Engineering and Physical Sciences,,,10.1021/acs.chemrev.5b00146,"Leigh, David",American Chemical Society,Chemical Reviews Chem Rev,0009-2665,Journal Article/Review (Hybrid journal),Artificial Molecular Machines,8/9/2015,RCUK,,,EPSRC,,,EP/H021620/2,,,16/9/2015," $2,000.00 ",,,USD,1504.63,,,,Yes,,1504.63,CC-BY,Yes,Yes,
24/08/2015,"Newsome, Laura",Engineering and Physical Sciences,,26292021,10.1021/acs.est.5b02042,"Newsome, Laura",American Chemical Society,Environmental Science & Technology,0013-936X,Journal Article/Review (Hybrid journal),Biostimulation by glycerol phosphate to precipitate recalcitrant uranium(IV) phosphate,20/8/2015,RCUK,,,NERC,,,NE/H007768/1,,,07/01/2016," $2,000.00 ",,,USD,1593.57,,,,Yes,,1593.57,CC-BY,Yes,Yes,
25/10/2015,"Morris, Katherine",Engineering and Physical Sciences,,26488884,10.1021/acs.est.5b03463,"Morris, Katherine",American Chemical Society,Environmental Science & Technology,0013-936X,Journal Article/Review (Hybrid journal),"Redox interactions of Tc(VII), U(VI) and Np(V) with microbially reduced biotite and chlorite.",21/10/2015,RCUK,,,NERC,,,NE/ H007768/1,,,03/12/2015," $2,000.00 ",,,USD,1562.1,,,,Yes,,1562.1,CC-BY,Yes,Yes,
7/12/2015,"Schroder, Martin",Faculty of Engineering & Physical Sciences Administration,,,10.1021/acs.inorgchem.5b01744,"Schroder, Martin",American Chemical Society,Inorganic Chemistry,0020-1669,Journal Article/Review (Hybrid journal),Synthesis and Photophysical Study of a [NiFe] Hydrogenase Biomimetic Compound Covalently-linked to a Re-diimine Photosensitizer,25/11/2015,RCUK,,,EPSRC,,,,,,19/02/2016," $2,000.00 ",,,USD,1672.18,,,,Yes,,1672.18,CC-BY,Yes,Yes,
7/12/2015,"Schroder, Martin",Faculty of Engineering & Physical Sciences Administration,PMC4805307,,10.1021/acs.inorgchem.5b02108,"Schroder, Martin",American Chemical Society,Inorganic Chemistry,0020-1669,Journal Article/Review (Hybrid journal),"Enhancement of CO2 Adsorption and Catalytic Properties by Fe-Doping of [Ga2(OH)2(L)] (H4L = Biphenyl-3,3',5,5'-tetracarboxylic Acid), MFM-300(Ga2).",12/1/2015,RCUK,,,EPSRC,,,,,,11/03/2016," $2,000.00 ",,,USD,1672.18,,,,Yes,,1672.18,CC-BY,Yes,Yes,
5/11/2015,Sven Schroeder,Faculty of Engineering and Physical Sciences,,26459024,10.1021/acs.jpcb.5b07159,Sven Schroeder,American Chemical Society,American Chemical Society,1520-6106,Journal Article/Review (Hybrid journal),NEXAFS Sensitivity to Bond Lengths in Complex Molecular Materials: A Study of Crystalline Saccharides,12/10/2015,RCUK,,,EPSRC,,,EP/I013563/1,,,3/12/2015," $         2,000.00 ",,,USD,1562.1,,,,Yes,,1562.1,CC-BY,Yes,Yes,
27/10/2015,"Lindsay, Robert",Engineering and Physical Sciences,PMC4729357,,10.1021/acs.jpcc.5b04607,"Lindsay, Robert",American Chemical Society,"The Journal of Physical Chemistry Part C: Nanomaterials, Interfaces and Hard Matter",1932-7447,Journal Article/Review (Hybrid journal),Geometry of alpha-Cr2O3(0001) as a Function of H2O Partial Pressure,24/8/2015,RCUK,,,EPSRC,,,,,,14/01/2016," $2,000.00 ",,,USD,1593.57,,,,Yes,,1593.57,CC-BY,Yes,Yes,
02/01/2016,"Thomas, Andrew",School of Materials,,,10.1021/acs.jpcc.5b11258,"Thomas, Andrew",American Chemical Society,The Journal of Physical Chemistry C,1932-7447,Journal Article/Review (Hybrid journal),An Experimental Investigation of the Adsorption of a Phosphonic Acid on the Anatase TiO2(101) Surface,05/01/2016,RCUK,RCUK,,EPSRC,EPSRC,,EP/G03737X/1,EP/M026817/1,,15/04/2016," $2,000.00 ",,,USD,1717.8,,,,Yes,,1717.8,CC-BY,Yes,Yes,
30/11/2015,"Dryfe, Robert",Faculty of Engineering and Physical Sciences,,26574912,10.1021/acs.langmuir.5b04219,"Dryfe, Robert",American Chemical Society,Langmuir,0743-7463,Journal Article/Review (Hybrid journal),Electrostatic Stabilization of Graphene in Organic Dispersions,17/11/2015,RCUK,,,EPSRC,,,,,,04/02/2016," $1,250.00 ",,,USD,1005.96,,,,Yes,,1005.96,CC-BY,Yes,Yes,
17/08/2015,"Coe, Benjamin",Engineering and Physical Sciences,,,10.1021/acs.organomet.5b00193,"Coe, Benjamin",American Chemical Society,Organometallics,0276-7333,Journal Article/Review (Hybrid journal),"Nonlinear Optical Chromophores with Two Ferrocenyl, Octamethylferrocenyl, or 4-(Diphenylamino)phenyl Groups Attached to Rhenium(I) or Zinc(II) Centers",30/4/2015,RCUK,,,EPSRC,,,EP/J018635/1,,,07/01/2016," $2,000.00 ",,,USD,1593.57,,,,Yes,,1593.57,CC-BY,Yes,Yes,
9/12/2015,"Ingleson, Michael",School of Chemistry,PMC4819459,,10.1021/acs.organomet.5b00857,"Ingleson, Michael",American Chemical Society,Organometallics,0276-7333,Journal Article/Review (Hybrid journal),Facile Arylation of Four-coordinate Boron Halides by Borenium 2 Cation Mediated Boro-desilylation and -destannylation,8/12/2015,RCUK,,,EPSRC,,,,,,11/03/2016," $2,000.00 ",,,USD,1672.18,,,,Yes,,1672.18,CC-BY,Yes,Yes,
29/09/2015,"Dryfe, Robert",Engineering and Physical Sciences,,26403179,10.1021/acsami.5b05095,"Dryfe, Robert",American Chemical Society,A C S Applied Materials and Interfaces,1944-8244,Journal Article/Review (Hybrid journal),Mesoporous Vertical Co3O4 Nanosheet Arrays on Nitrogen-doped Graphene Foam with enhanced charge-storage performance,25/9/2015,RCUK,,,EPSRC,,,EP/K016954/1,,,22/10/2015," $2,000.00 ",,,USD,1553.99,,,,Yes,,1553.99,CC-BY,Yes,Yes,
09/09/2015,"Lewis, David",Engineering and Physical Sciences,,26322958,10.1021/acsami.5b06055,"Lewis, David",American Chemical Society,A C S Applied Materials and Interfaces,1944-8244,Journal Article/Review (Hybrid journal),The Mechanical Properties of Molybdenum Disulfide and the Effect of Doping: an In Situ TEM Study,31/8/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,18/12/2015," $2,000.00 ",,,USD,1562.1,,,,Yes,,1562.1,CC-BY,Yes,Yes,
28/10/2015,"Blanford, Christopher",Engineering and Physical Sciences,,26506112,10.1021/acsami.5b07290,"Blanford, Christopher",American Chemical Society,A C S Applied Materials and Interfaces,1944-8244,Journal Article/Review (Hybrid journal),Optimizing the mass-specific activity of bilirubin oxidase adlayers through combined electrochemical quartz crystal microbalance and dual polarization interferometry analyses,27/10/2015,RCUK,,,EPSRC,,,EP/G00434X2,,,25/11/2015," $2,000.00 ",,,USD,1582.16,,,,Yes,,1582.16,CC-BY,Yes,Yes,
01/08/2015,"Pal, Joydeep",Faculty of Engineering and Physical Sciences,,,10.1021/acsphotonics.5b00159,"Pal, Joydeep",American Chemical Society,A C S Photonics,2330-4022,Journal Article/Review (Hybrid journal),Visible spectrum quantum light sources based on InGaN/GaN quantum dots,09/06/2015,RCUK,,,EPSRC,,,,,,26/08/2015," $2,000.00 ",,,USD,1534.63,,,,Yes,,1534.63,CC-BY,Yes,Yes,
01/08/2015,"Leigh, David",Faculty of Engineering and Physical Sciences,,26214819,10.1021/jacs.5b07069,"Leigh, David",American Chemical Society,American Chemical Society. Journal J A C S,0002-7863,Journal Article/Review (Hybrid journal),Lanthanide Template Synthesis of Trefoil Knots of Single Handedness,27/07/2015,RCUK,,,EPSRC,,,EP/H021620/2,,,04/09/2015," $1,250.00 ",,,USD,959.14,,,,Yes,,959.14,CC-BY,Yes,Yes,
09/09/2015,"Lewis, David",Engineering and Physical Sciences,,26352047,10.1021/jacs.5b08236,"Lewis, David",American Chemical Society,American Chemical Society. Journal,0002-7863,Journal Article/Review (Hybrid journal),Tin(II) Sulfide (SnS) Nanosheets by Liquid-Phase Exfoliation of Herzenbergite: IV-VI Main Group 2-Dimensional Atomic Crystals,9/11/2015,RCUK,,,EPSRC,,,EP/K039547/1,,,11/12/2015," $2,000.00 ",,,USD,1562.1,,,,Yes,,1562.1,CC-BY,Yes,Yes,
23/11/2015,"O'Brien, Paul",Faculty of Engineering and Physical Sciences,,26587831,10.1021/jacs.5b10281,"O'Brien, Paul",American Chemical Society,American Chemical Society. Journal,0002-7863,Journal Article/Review (Hybrid journal),"The Synthesis of Nanoparticulate Alloys of the Composition Cu2Zn1-xFexSnS4: Structural, Optical and Magnetic Properties",20/11/2015,RCUK,,,EPSRC,,,,,,14/01/2016," $2,000.00 ",,,USD,1605.9,,,,Yes,,1605.9,CC-BY,Yes,Yes,
02/01/2016,"Webb, Simon",School of Chemistry,PMC4752191,,10.1021/jacs.5b12057,"Webb, Simon",American Chemical Society,American Chemical Society. Journal,0002-7863,Journal Article/Review (Hybrid journal),Length-dependent formation of transmembrane pores by 3-10 helical Aib foldamers,23/12/2015,RCUK,,,BBSRC,EPSRC,,BB/I007962/1,EP/N009134/1,,22/01/2016," $2,000.00 ",,,USD,1609.53,,,,Yes,,1609.53,CC-BY,Yes,Yes,
04/01/2016,"Scrutton, Nigel",School of Life Sciences,PMC4731831,,10.1021/jacs.5b12252,"Scrutton, Nigel",American Chemical Society,American Chemical Society. Journal,0002-7863,Journal Article/Review (Hybrid journal),Better than Nature: nicotinamide biomimetics that outperform natural coenzymes,03/01/2016,RCUK,RCUK,RCUK,BBSRC,BBSRC,EPSRC,BB/K017802/1,BB/M017702/1,EP/J020192/1,14/01/2016," $2,500.00 ",,,USD,2011.91,,,,Yes,,2011.91,CC-BY,Yes,Yes,
12/01/2016,"Procter, David",Faculty of Engineering and Physical Sciences,,26745643,10.1021/jacs.5b12579,"Procter, David",American Chemical Society,American Chemical Society. Journal J A C S,0002-7863,Journal Article/Review (Hybrid journal),Metal-Free CHCH-Type Cross-Coupling of Arenes and Alkynes Directed by a Multifunctional Sulfoxide Group,08/01/2016,RCUK,,,EPSCR,,,EP/M005062/1,,,22/01/2016," $2,000.00 ",,,USD,1609.53,,,,Yes,,1609.53,CC-BY,Yes,Yes,
01/08/2015,"Velicky, Matej",Faculty of Engineering and Physical Sciences,,25290250,10.1021/nn504298r.,"Velicky, Matej",American Chemical Society,A C S Nano ACS Nano,1936-0851,Journal Article/Review (Hybrid journal),Electron Transfer Kinetics on Mono- and Multilayer Graphene,07/10/2014,RCUK,,,EPSRC,,,EP/K016954/1,,,26/08/2015," $2,000.00 ",,,USD,1534.63,,,,Yes,,1534.63,CC-BY,Yes,Yes,
28/01/2016,"Schroder, Martin",Faculty of Engineering and Physical Sciences,,,10.1021/jacs.5b12312,"Schroder, Martin",American Chemical Society,American Chemical Society. Journal,0002-7863,Journal Article/Review (Hybrid journal),"Non-Interpenetrated Metal-Organic Frameworks Based on Copper(II) Paddlewheel and Oligoparaxylene-Isophthalate Linkers: Synthesis, Structure and Gas Adsorption",01/03/2016,RCUK,,,EPSRC,,,,,,19/02/2016," $2,000.00 ",,,USD,1609.53,,,,Yes,,1609.53,CC-BY,Yes,Yes,
29/01/2016,"Larrosa, Igor",Faculty of Engineering and Physical Sciences,,,10.1021/jacs.5b12242,"Larrosa, Igor",American Chemical Society,American Chemical Society. Journal J A C S,0002-7863,Journal Article/Review (Hybrid journal),Room-Temperature Direct Î²-Arylation of Thiophenes and Benzo[b]thiophenes and Kinetic Evidence for a Heck-type Pathway,20/01/2016,RCUK,,,EPSRC,,,,,,19/02/2016," $2,000.00 ",,,EUR,1672.18,,,,Yes,,1672.18,CC-BY,Yes,Yes,
25/01/2016,"Goodacre, Roy",Faculty of Engineering and Physical Sciences,,,10.1021/acs.analchem.5b03535,"Goodacre, Roy",American Chemical Society,Analytical Chemistry Anal Chem,0003-2700,Journal Article/Review (Hybrid journal),The detection of protein glycosylation using tip enhanced Raman scattering,25/01/2016,RCUK,,,BBSRC,,,,,,04/02/2016," $2,000.00 ",,,USD,1609.53,,,,Yes,,1609.53,CC-BY,Yes,Yes,
26/01/2016,"Scrutton, Nigel",Faculty of Life Sciences,,,10.1021/acs.biochem.5b01355,"Scrutton, Nigel",American Chemical Society,Biochemistry Biochemistry,0006-2960,Journal Article/Review (Hybrid journal),Cross-species analysis of protein dynamics associated with hydride and proton transfer in the catalytic cycle of the light-driven enzyme protochlorophyllide oxidoreductase.,25/01/2016,RCUK,,,BBSRC; EPSRC,,,,,,04/02/2016," $2,000.00 ",,,USD,1609.53,,,,Yes,,1609.53,CC-BY,Yes,Yes,
28/01/2016,"Connor, Jonathan",Faculty of Engineering and Physical Sciences,,,10.1021/acs.jpcb.5b10189,"Connor, Jonathan",American Chemical Society,"The Journal of Physical Chemistry Part B: Condensed Matter, Materials, Surfaces, Interfaces & Biophysical",1520-6106,Journal Article/Review (Hybrid journal),"Angular Scattering Dynamics of the CH4 + Cl → CH3 + HCl Reaction Using Nearside–Farside, Local Angular Momentum, and Resummation Theories",01/12/2016,RCUK,,,EPSRC,,,,,,16/02/2016," $2,500.00 ",,,USD,2011.91,,,,Yes,,2011.91,CC-BY,Yes,Yes,
18/11/2015,John Wallbank,Faculty of Engineering and Physical Sciences,,,10.1063/1.4935988,John Wallbank,American Institute of Physics,Applied Physics Letters,0003-6951,Journal Article/Review (Hybrid journal),Twist-controlled resonant tunnelling between monolayer and bilayer graphene,17/11/2015,RCUK,,,EPSRC,,,,,,18/12/2015," £1,737.20 ",,,GBP,1737.2,,,,No,,1737.2,CC-BY,Yes,Yes,
17/08/2015,"Thomson, Thomas",Engineering and Physical Sciences,,16606133,10.1063/1.4927726,"Thomson, Thomas",American Institute of Physics,Journal of Applied Physics,0021-8979,Journal Article/Review (Hybrid journal),Magnetisation reversal in anisotropy graded Co/Pd multilayers,10/8/2015,RCUK,,,EPSRC,,,EP/G032440/1.,,,12/10/2015," £1,943.32 ",,,GBP,1943.32,,,,No,,1943.32,CC-BY,Yes,Yes,
