Date of initial application by author,Submitted by,University department,PubMed Central (PMC) ID,PubMed ID,DOI,Affiliated author,Publisher,Journal,ISSN,Type of publication,Article title,Date of publication,Fund that APC is paid from (1),Fund that APC is paid from (2),Fund that APC is paid from (3),Funder of research (1),Funder of research (2),Funder of research (3),Grant ID (1),Grant ID (2),Grant ID (3),Date of APC payment,APC paid (actual currency) including VAT if charged,APC paid (actual currency) excluding VAT,VAT (actual currency),Currency of APC,APC paid (£) including VAT if charged,APC paid (£) excluding VAT,VAT (£),Additional publication costs (£),"Discounts, memberships & pre-payment agreements",Amount of APC charged to COAF grant (include VAT if charged) in £,Amount of APC charged to RCUK OA fund (include VAT if charged) in £,Licence,Correct license applied,Problem-free open access publication,Notes
,,"Medicine, Dentistry and Biomedical Sciences",4310594,25633080,10.1371/journal.ppat.1004627,Thamarai Scheiders,PLOS,PLoS Pathogens,1553-7374,Journal Article/Review (Full OA journal),Elucidation of the RamA Regulon in Klebsiella pneumoniae Reveals a role in LPS Regulation,29/01/2015,RCUK,,,MRC,,,G0601199,,,05/01/2015,2250,,,USD,1828.54,,,,,,1828.54,CC BY,Yes,Yes,
,,Mechanical and Aerospace Engineering,,25766271,10.1002/jbm.b.33370,Fraser Buchanan,Wiley-Blackwell,Journal of Biomedical Materials Research,1552-4973,Journal Article/Review (Hybrid journal),Biocompatibility of Calcium Phosphate Bone Cement with Optimised Mechanical Properties,12/03/2015,RCUK,,,EPSRC,,,EP/E022863/1,,,15/01/2015,1875,,,GBP,1875,,,,,,1875,CC BY,Yes,Yes,
,,"Planning, Architecture and Civil Engineering",,,10.1002/psp.1947,Aileen Stockdale,Wiley-Blackwell,"Population, Space and Place",1544-8452,Journal Article/Review (Hybrid journal),Contemporary and 'messy' rural in-migration processes: Comparing counterurban and lateral rural migration,01/06/2015,RCUK,,,ESRC,,,RES-062-23-1358,,,22/01/2015,1500,,,GBP,1500,,,,,,1500,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1088/1367-2630/17/1/013034,Mauro Paternostro,IOP,New Journal of Physics,1367-2630,Journal Article/Review (Full OA journal),Squeezing of mechanical motion via qubit-assisted control,20/01/2015,RCUK,,,EPSRC,,,EP/G004759/1,,,27/02/2015,1843.2,,,USD,1227.94,,,,,,1227.94,CC BY,Yes,Yes,
,,Pharmacy,4415967,25767277,10.1161/ATVBAHA.114.304539,Tracy Robson,Lippincott Williams & Wilkins,"Arteriosclerosis, Thrombosis and Vascular Biology",1524-4636,Journal Article/Review (Hybrid journal),FKBPL Is a Critical Antiangiogenic Regulator of Developmental and Pathological Angiogenesis,12/03/2015,RCUK,,,BBSRC,BBSRC,,R1268PMY,BB/I006958/1 ,,05/03/2015,4500,,,USD,3618.9,,,,,,3618.9,CC BY,Yes,Yes,
,,"Politics, International Studies and Philosophy",,,10.1177/0967010615578399,Michael Bourne,Sage,Security Dialogue,1460-3640,Journal Article/Review (Hybrid journal),"Laboratizing the Border: the production, translation and anticipation of security technologies",08/06/2015,RCUK,,,ESRC,,,ES/K011332/1,,,18/03/2015,240,,,GBP,240,,,,,,240,CC BY,Yes,Yes,
,,Pharmacy,4415967,25906750,10.18632/oncotarget.3528,Tracy Robson,Impact Journals,Oncotarget,1949-2553,Journal Article/Review (Full OA journal),FKBPL; a Marker of Good Prognosis in Breast Cancer,03/04/2015,RCUK,,,MRC,,,G1001473/1,,,10/03/2015,2850,,,USD,2363.15,,,,,,2363.15,CC BY,Yes,Yes,
,,"Electronics, Electrical Engineering and Computer Science",,,10.1109/TEC.2015.2411153,Wenping Cao,IEEE,IEEE Transactions on Energy Conversion ,0885-8969,Journal Article/Review (Hybrid journal),DFIG Machine Design for Maximizing Power Output Based on Surrogate Optimization Algorithm,02/04/2015,RCUK,,,EPSRC,,,EP/K008552/2,,,31/03/2015,1312.5,,,USD,1126.08,,,,,,1126.08,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1088/1367-2630/17/3/035016,Mauro Paternostro,IOP,New Journal of Physics,1367-2630,Journal Article/Review (Full OA journal),Out-of-equilibrium Thermodynamics of Quantum Optomechanical,31/01/2015,RCUK,,,EPSRC,EPSRC,,EP/L005026/1,EP/J009776/1,,09/04/2015,1008,,,GBP,1008,,,,,,1008,CC BY,Yes,Yes,
,,Mathematics and Physics,,,10.1103/PhysRevE.91.033107,David Riley,APS,Physical Review E,1539-3755,Journal Article/Review (Hybrid journal),Fast-electron refluxing effects on anisotropic hard-x-ray emission from intense laser-plasma interactions,16/03/2015,RCUK,,,EPSRC,EPSRC,,EP/C003586,EP/I029206,,24/03/2015,1366.32,,,GBP,1366.32,,,,,,1366.32,CC BY,Yes,Yes,
,,Psychology,,25843700,10.1016/j.jecp.2015.03.003,Eimear O'Connor,Elsevier,Journal of Experimental Child Psychology,0022-0965,Journal Article/Review (Hybrid journal),Regret and adaptive decision making in young children,03/04/2015,RCUK,,,ESRC,,,ES/K000411/1,,,31/03/2015,1594.62,,,EURO,1408.38,,,,,,1408.38,CC BY,Yes,Yes,
,,Mathematics and Physics,,26059779,10.1038/ncomms8361,JM Gregg,Nature Publishing Group,Nature Communications,2041-1723,Journal Article/Review (Full OA journal),A Diode for Ferroelectric Domain Wall Motion ,10/06/2015,RCUK,,,EPSRC,,,EP/H047093/1,,,06/05/2015,3780,,,GBP,3780,,,,,,3780,CC BY,Yes,Yes,
